Easements,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,BuiltFAR,ResidFAR,CommFAR,FacilFAR,XCoord,YCoord
1,2478,1170,1,2,1,1,36,119,13,45,6558,22896,1610,1610,1986,0.47,0.6,0,1,953207,165661
1,2478,1170,1,2,1,1,21,118,13,45,6558,22896,1610,1610,1986,0.47,0.6,0,1,953252,165659
1,2242,1170,1,2,1,1,19,118,13,45,5975,22896,0,0,1986,0.52,0.6,0,1,953269,165643
1,2478,1170,1,2,1,1,21,118,13,45,6558,22896,1610,1610,1986,0.47,0.6,0,1,953285,165628
1,2478,1170,1,2,1,1,21,118,13,45,6138,21427,1610,1610,1986,0.47,0.6,0,1,953301,165614
1,2478,1170,1,2,1,1,21,118,13,45,6558,22896,0,0,1986,0.47,0.6,0,1,953316,165600
1,2478,1170,1,2,1,1,21,118,13,45,6558,22896,1610,1610,1986,0.47,0.6,0,1,953331,165586
1,2478,1170,1,2,1,1,21,118,13,45,6558,22896,1610,1610,1986,0.47,0.6,0,1,953346,165572
1,2478,1170,1,2,1,1,21,118,13,45,6558,22896,6558,14888,1986,0.47,0.6,0,1,953361,165558
1,2478,1170,1,2,1,1,41,118,13,45,6558,22896,1610,1610,1986,0.47,0.6,0,1,953385,165537
1,82250,127800,1,10,143,143,358,249,204,62,664650,2637900,474903,474903,1966,1.55,0.6,0,1,953759,165219
1,41867,0,0,0,0,0,106.94,36.77,0,0,363600,363600,0,0,0,0,0,1,2.4,963397,171276
3,8117815,330780,16,1,0,4,4874,1442,160,100,8923950,15206850,0,0,1931,0.04,3,3,3,964490,169090
1,229318,0,10,0,0,0,816.32,190,0,0,0,0,0,0,0,0,0,1,2.4,963482,170680
1,607217,654030,9,8,693,693,434,980,356,122,1194300,11812500,1194300,11812500,1962,1.08,1.25,0,2,961686,166056
1,14740,2888,1,2.5,1,1,110,134,21,24,19655,37333,5750,5750,1901,0.2,0.5,0,1,959779,166337
1,35534,0,0,0,0,0,163.75,218.08,0,0,18385,18385,0,0,0,0,0.5,0,1,959975,166331
1,38285,0,0,0,0,0,198.75,218.08,0,0,19905,19905,0,0,0,0,0.5,0,1,959956,166465
1,17850,3000,1,2.5,1,1,119.17,134.83,38,40,19260,37320,0,0,1935,0.17,0.5,0,1,959776,166451
1,4536,2048,1,1,1,1,42,108,25,46,9840,30540,1610,1610,1965,0.45,0.5,0,1,952139,160723
