"","V1","V2"
"1",230.324466864035,56.9118217198481
"2",-113.008051528615,68.9351732179662
"3",-188.6984142607,74.3334196429136
"4",-200.974042033883,-16.8126094111854
"5",92.4090020984951,44.5800556488781
"6",-94.3942589636635,141.62075549652
"7",47.3441739287388,243.336256149101
"8",216.301036965642,165.621967318815
"9",185.254651260747,-52.0306348315396
"10",-57.0754463594022,254.606177560641
"11",48.5318812645029,154.295545471726
"12",-27.6820070595117,-165.245532410113
"13",153.2624707637,21.8860824472452
"14",340.119500975319,-40.4383895470554
"15",243.032718416642,-233.329269724869
"16",324.753606877681,-62.1822055677193
"17",250.599678835765,-207.82466998308
"18",-267.537982473392,-109.35879538717
"19",1.32945151861562,-267.629396911754
"20",-296.048853010543,-110.259694511571
"21",-21.860823713388,-291.350396759105
"22",-179.039670777741,232.102441447512
"23",-278.018843778588,101.774075316778
"24",-172.789794198129,204.361857819779
"25",-249.144254552508,93.1368662202609
"26",-156.085117308422,-132.565972947347
"27",102.372944448373,114.808732416852
"28",-87.0265476195537,-2.80484202333081
"29",-34.2882947917858,-10.61920555371
"30",-128.627640599251,-17.3301369108342
"31",114.032017731833,-177.986620362919
"32",-90.102930054326,-81.8702349632645
"33",35.6539380355585,-83.2413780985689
"34",4.91145015024225,113.576686049965
"35",43.2880124069432,-146.054596264206
"36",-42.429006481625,37.7036475524829
"37",66.9188516038638,-17.300100033866
"38",-44.9884121824211,-80.4519277615018
"39",-16.2823646778368,-94.2018531267059
"40",40.8521126503819,86.0489396919207
"41",15.6177878053541,-27.7249244427583
"42",-23.2810537418196,176.325674814358
"43",107.577001030895,-98.607625158306
"44",-188.118805491665,-162.970685680683
"45",150.42618544681,108.956227936185
"46",-113.609629233659,-165.062778440131
"47",121.054075608534,169.278236216773
"48",-48.0658313738292,93.2319616422592
"49",106.270531191012,-34.117433032267
"50",0.633532351439032,20.7845208055885
"51",38.7745933934013,44.300615977621
"52",32.9505369412852,12.1608026457755
"53",4.58186570044914,54.6933686177985
